id,lead,nome,fonte,status,valor,data,link,email,perfil,numero,categoria,segmento,prioridade,score,proxima_acao,empresa,site,endereco,cidade,estado,cnpj,avaliacao,qtd_avaliacoes,origem_base,observacao
1,ADCON,ADCON,Administradora,Captado,5000,15/06/2026,https://www.google.com/maps/place/ADCON/data=!4m7!3m6!1s0x7161b1abdf1fb91:0xab6c3b6a411851f9!8m2!3d-12.9807449!4d-38.4558701!16s%2Fg%2F1td4vgqz!19sChIJkfvxvRobFgcR-VEYQWo7bKs?authuser=0&hl=pt-BR&rclk=1,,,7132721354,Imobiliária de aluguel de condomínios,Administradoras e condominios,Quente,75,Abordar com mensagem personalizada,ADCON,https://www.google.com/maps/place/ADCON/data=!4m7!3m6!1s0x7161b1abdf1fb91:0xab6c3b6a411851f9!8m2!3d-12.9807449!4d-38.4558701!16s%2Fg%2F1td4vgqz!19sChIJkfvxvRobFgcR-VEYQWo7bKs?authuser=0&hl=pt-BR&rclk=1,"Av. Tancredo Neves, 1189",,,,,(10),MAIN.xlsx/adms,
2,ADM MELLO GALPÕES e IMOVEIS,ADM MELLO GALPÕES e IMOVEIS,Administradora,Captado,5000,15/06/2026,https://www.google.com/maps/place/ADM+MELLO+GALP%C3%95ES+e+IMOVEIS/data=!4m7!3m6!1s0x7161b10049d63e9:0x627990fdf155bee9!8m2!3d-12.983717!4d-38.4537758!16s%2Fg%2F11fxz6dbns!19sChIJ6WOdBBAbFgcR6b5V8f2QeWI?authuser=0&hl=pt-BR&rclk=1,,,71999743312,Imobiliária,Administradoras e condominios,Quente,75,Abordar com mensagem personalizada,ADM MELLO GALPÕES e IMOVEIS,http://aluguelevendadegalpoes.com.br/,,,,,,(5),MAIN.xlsx/adms,
3,ADMServ Administração e Serviços de Condomínios,ADMServ Administração e Serviços de Condomínios,Administradora,Captado,5000,15/06/2026,https://www.google.com/maps/place/ADMServ+Administra%C3%A7%C3%A3o+e+Servi%C3%A7os+de+Condom%C3%ADnios/data=!4m7!3m6!1s0x7161b665930dc27:0x6d4dabdc2d59af2c!8m2!3d-12.9801473!4d-38.4551421!16s%2Fg%2F11h1l0krh4!19sChIJJ9wwWWYbFgcRLK9ZLdyrTW0?authuser=0&hl=pt-BR&rclk=1,,,7134190969,Serviços administrativos,Administradoras e condominios,Quente,75,Abordar com mensagem personalizada,ADMServ Administração e Serviços de Condomínios,http://admserv.com.br/,"Edf Salvador Business & Flat - R. Alceu Amoroso Lima, 440 - 4º andar, Salas 414/415",,,,,(4),MAIN.xlsx/adms,
4,Afinco,Afinco,Administradora,Captado,5000,15/06/2026,https://www.google.com/maps/place/Afinco/data=!4m7!3m6!1s0x71605c756c13e11:0xbeb444cfb8957ca8!8m2!3d-13.0090232!4d-38.5269586!16s%2Fg%2F11mv5j02py!19sChIJET7BVscFFgcRqHyVuM9EtL4?authuser=0&hl=pt-BR&rclk=1,,,71999507807,Serviços administrativos,Administradoras e condominios,Quente,75,Abordar com mensagem personalizada,Afinco,https://afincoadm.com.br/,"Av. Oceânica, 551 - Center Sl 110 e 113",,,,,(1),MAIN.xlsx/adms,
5,Alencar Machado Serviços para Condomínios,Alencar Machado Serviços para Condomínios,Administradora,Captado,5000,15/06/2026,https://www.google.com/maps/place/Alencar+Machado+Servi%C3%A7os+para+Condom%C3%ADnios/data=!4m7!3m6!1s0x7161b6e12d87493:0x310c86211551cdae!8m2!3d-12.9979845!4d-38.4546341!16s%2Fg%2F1tf7b91b!19sChIJk3TYEm4bFgcRrs1RFSGGDDE?authuser=0&hl=pt-BR&rclk=1,,,7131639900,Serviços administrativos,Administradoras e condominios,Quente,75,Abordar com mensagem personalizada,Alencar Machado Serviços para Condomínios,http://alencarmachadoadm.com21.com.br/,"Av. Paulo VI, 486",,,,,,MAIN.xlsx/adms,
6,Amaralina Administração de Condominios e Contabilidade,Amaralina Administração de Condominios e Contabilidade,Administradora,Captado,5000,15/06/2026,https://www.google.com/maps/place/Amaralina+Administra%C3%A7%C3%A3o+de+Condominios+e+Contabilidade/data=!4m7!3m6!1s0x7161caf26c17ea1:0xeac940f3a41a2338!8m2!3d-13.0122505!4d-38.4686314!16s%2Fg%2F1ptvw2_lg!19sChIJoX7BJq8cFgcROCMapPNAyeo?authuser=0&hl=pt-BR&rclk=1,,,7132407815,Complexo de condomínio,Administradoras e condominios,Quente,75,Abordar com mensagem personalizada,Amaralina Administração de Condominios e Contabilidade,https://www.immobileweb.com.br/login/amaralinacontabilidade,,,,,,(9),MAIN.xlsx/adms,
7,CMCL Assessoria e Adm de Cond Ltda,CMCL Assessoria e Adm de Cond Ltda,Administradora,Captado,5000,15/06/2026,https://www.google.com/maps/place/CMCL+Assessoria+e+Adm+de+Cond+Ltda/data=!4m7!3m6!1s0x716048c377b5023:0xb9470fcc0952b9a3!8m2!3d-12.9840932!4d-38.5195829!16s%2Fg%2F1tf_187h!19sChIJI1B7N4wEFgcRo7lSCcwPR7k?authuser=0&hl=pt-BR&rclk=1,,,7133291495,Complexo de condomínio,Administradoras e condominios,Quente,75,Abordar com mensagem personalizada,CMCL Assessoria e Adm de Cond Ltda,https://www.google.com/maps/place/CMCL+Assessoria+e+Adm+de+Cond+Ltda/data=!4m7!3m6!1s0x716048c377b5023:0xb9470fcc0952b9a3!8m2!3d-12.9840932!4d-38.5195829!16s%2Fg%2F1tf_187h!19sChIJI1B7N4wEFgcRo7lSCcwPR7k?authuser=0&hl=pt-BR&rclk=1,"Largo dos Aflitos, 13",,,,,(1),MAIN.xlsx/adms,
8,CONDOMINIAL - Administração de Condomínios,CONDOMINIAL - Administração de Condomínios,Administradora,Captado,5000,15/06/2026,https://www.google.com/maps/place/CONDOMINIAL+-+Administra%C3%A7%C3%A3o+de+Condom%C3%ADnios/data=!4m7!3m6!1s0x7163dff63b7cdb9:0x72aef7e9a5a5a0cb!8m2!3d-12.8865186!4d-38.3163044!16s%2Fg%2F1q6j8ftsj!19sChIJuc23Y_89FgcRy6Clpen3rnI?authuser=0&hl=pt-BR&rclk=1,,,7132871414,Serviços administrativos,Administradoras e condominios,Quente,75,Abordar com mensagem personalizada,CONDOMINIAL - Administração de Condomínios,https://www.condominial.adm.br/,"Av. Brg. Alberto C.Matos, 342",,,,,(16),MAIN.xlsx/adms,
9,Conac Administração de Condomínios,Conac Administração de Condomínios,Administradora,Captado,5000,15/06/2026,https://www.google.com/maps/place/Conac+Administra%C3%A7%C3%A3o+de+Condom%C3%ADnios/data=!4m7!3m6!1s0x716037889fc9525:0x39cb3f03f73072c3!8m2!3d-13.006342!4d-38.5259839!16s%2Fg%2F1td7tcq6!19sChIJJZX8iXgDFgcRw3Iw9wM_yzk?authuser=0&hl=pt-BR&rclk=1,,,7132647598,Complexo de condomínio,Administradoras e condominios,Quente,75,Abordar com mensagem personalizada,Conac Administração de Condomínios,http://www.conacadm.com.br/,"R. Belo Horizonte, 90",,,,,(3),MAIN.xlsx/adms,
10,Conceito Administração de Condomínios,Conceito Administração de Condomínios,Administradora,Captado,5000,15/06/2026,https://www.google.com/maps/place/Conceito+Administra%C3%A7%C3%A3o+de+Condom%C3%ADnios/data=!4m7!3m6!1s0x7161b1bf2448095:0xd38f27c44c2fb3c0!8m2!3d-12.9795738!4d-38.4563474!16s%2Fg%2F11b6j72vx3!19sChIJlYBE8hsbFgcRwLMvTMQnj9M?authuser=0&hl=pt-BR&rclk=1,,,7133426160,Serviços administrativos,Administradoras e condominios,Quente,75,Abordar com mensagem personalizada,Conceito Administração de Condomínios,http://conceitoadm.net/,"R. Alceu Amoroso Lima, 314",,,,,(26),MAIN.xlsx/adms,
11,Condomínio Reserva das Plantas,Condomínio Reserva das Plantas,Administradora,Captado,5000,15/06/2026,https://www.google.com/maps/place/Condom%C3%ADnio+Reserva+das+Plantas/data=!4m7!3m6!1s0x7161ad9e2de2a99:0x1e1ff7a8a74580a8!8m2!3d-12.9659013!4d-38.4747789!16s%2Fg%2F11bbrlp4ff!19sChIJmSre4tkaFgcRqIBFp6j3Hx4?authuser=0&hl=pt-BR&rclk=1,,,,Complexo de condomínio,Administradoras e condominios,Morno,50,Pesquisar responsavel antes de abordar,Condomínio Reserva das Plantas,https://sleepdexbr.cfd/condominio-reserva-das-qveiv7,,,,,,(1.345),MAIN.xlsx/adms,
12,DIAMOND Alto do Itaigara,DIAMOND Alto do Itaigara,Administradora,Captado,5000,15/06/2026,https://www.google.com/maps/place/DIAMOND+Alto+do+Itaigara/data=!4m7!3m6!1s0x7161b46306b6a7b:0x8cf24c1278ebacfd!8m2!3d-12.992537!4d-38.4735865!16s%2Fg%2F11gzx4kvb!19sChIJe2prMEYbFgcR_azreBJM8ow?authuser=0&hl=pt-BR&rclk=1,,,71981662834,Complexo de condomínio,Administradoras e condominios,Quente,75,Abordar com mensagem personalizada,DIAMOND Alto do Itaigara,https://www.google.com/maps/place/DIAMOND+Alto+do+Itaigara/data=!4m7!3m6!1s0x7161b46306b6a7b:0x8cf24c1278ebacfd!8m2!3d-12.992537!4d-38.4735865!16s%2Fg%2F11gzx4kvb!19sChIJe2prMEYbFgcR_azreBJM8ow?authuser=0&hl=pt-BR&rclk=1,,,,,,(300),MAIN.xlsx/adms,
13,GConexão - Administração de Condomínios,GConexão - Administração de Condomínios,Administradora,Captado,5000,15/06/2026,https://www.google.com/maps/place/GConex%C3%A3o+-+Administra%C3%A7%C3%A3o+de+Condom%C3%ADnios/data=!4m7!3m6!1s0x7161bfdd24d2a61:0xc83ae2ac236e8a32!8m2!3d-12.9801747!4d-38.4513416!16s%2Fg%2F11hzyc6k0f!19sChIJYSpN0v0bFgcRMopuI6ziOsg?authuser=0&hl=pt-BR&rclk=1,,,7135039300,Companhia gestora de propriedade,Administradoras e condominios,Quente,75,Abordar com mensagem personalizada,GConexão - Administração de Condomínios,http://gconexao.com.br/,Edifício São Conrado Offices - R. Sd. Luiz Gonzaga das Virgens,,,,,(8),MAIN.xlsx/adms,
14,GRUPO EXATTA,GRUPO EXATTA,Administradora,Captado,5000,15/06/2026,https://www.google.com/maps/place/GRUPO+EXATTA/data=!4m7!3m6!1s0x7161b0f715652d9:0xa8bd3537f710c0b9!8m2!3d-12.9846893!4d-38.4504573!16s%2Fg%2F11cn3p463c!19sChIJ2VJWcQ8bFgcRucAQ9zc1vag?authuser=0&hl=pt-BR&rclk=1,,,7132760141,Consultoria empresarial,Administradoras e condominios,Quente,75,Abordar com mensagem personalizada,GRUPO EXATTA,http://grupoexatta.com.br/,"R. Dr. José Peroba, 297 - 601 a 610",,,,,(15),MAIN.xlsx/adms,
15,Grupo Exata - Administração de Condominios,Grupo Exata - Administração de Condominios,Administradora,Captado,5000,15/06/2026,https://www.google.com/maps/place/Grupo+Exata+-+Administra%C3%A7%C3%A3o+de+Condominios/data=!4m7!3m6!1s0x716048184ec2f05:0xf11c213301dbd4c4!8m2!3d-12.9842226!4d-38.518368!16s%2Fg%2F11c2pmx16f!19sChIJBS_shIEEFgcRxNTbATMhHPE?authuser=0&hl=pt-BR&rclk=1,,,7130113333,Serviços administrativos,Administradoras e condominios,Quente,75,Abordar com mensagem personalizada,Grupo Exata - Administração de Condominios,http://gexata.com.br/,,,,,,(18),MAIN.xlsx/adms,
